,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
2,2024-12-14,Augsburg,Leverkusen,"1,78","2,58","Action: BTTS 
","Home: Augsburg, Away: Leverkusen
Pts (All M): 16 VS 26
Pts Against Higher: 3 VS 11
Pts (Last 5): 10 VS 9
Position: 13 VS 3

BTTS (All M): 0.71 VS 1.0
Shots (All M):  16.4 VS 13.7
Shots (Last 5):  17.4 VS 11.4
Shots (AHR):  12.0 VS 14.2

Shots Tar (All M):  5.6 VS 5.3
Shots Tar (Last 5):  5.2 VS 4.6
Shots Tar (AHR):  4.0 VS 5.8

HT Gs (All M)):  0.9 VS 1.3
HT Gs (Last 5):  0.8 VS 1.2
HT Gs (AHR):  1.0 VS 1.4
FT Gs (All M)):  1.7 VS 2.2
FT Gs (Last 5):  1.4 VS 2.0
FT Gs (AHR):  2.0 VS 2.4

Scored at least 1 Goal (All M):  0.86 VS 1.0
Scored at least 1 Goal (Last 5)):  0.8 VS 1.0
Scored at least 1 Goal (AHR):  1.0 VS 1.0
"
3,2024-12-14,Mainz,Bayern Munich,"1,07","2,45","Action: Double Chance X2 
","Home: Mainz, Away: Bayern Munich
Pts (All M): 19 VS 33
Pts Against Higher: 3 VS 8
Pts (Last 5): 7 VS 11
Position: 10 VS 1

BTTS (All M): 0.57 VS 0.57
Shots (All M):  14.7 VS 18.3
Shots (Last 5):  15.4 VS 18.2
Shots (AHR):  14.5 VS 18.8

Shots Tar (All M):  5.0 VS 8.7
Shots Tar (Last 5):  5.4 VS 8.0
Shots Tar (AHR):  5.5 VS 8.2

HT Gs (All M)):  0.7 VS 1.7
HT Gs (Last 5):  0.8 VS 1.4
HT Gs (AHR):  1.0 VS 1.2
FT Gs (All M)):  1.1 VS 3.4
FT Gs (Last 5):  1.2 VS 3.0
FT Gs (AHR):  1.5 VS 3.0

Scored at least 1 Goal (All M):  0.71 VS 1.0
Scored at least 1 Goal (Last 5)):  0.6 VS 1.0
Scored at least 1 Goal (AHR):  0.5 VS 1.0
"
0,2024-12-14,Arsenal,Everton,"2,85","1,90","Action: O1.5
","Home: Arsenal, Away: Everton
Pts (All M): 29 VS 14
Pts Against Higher: 11 VS 0
Pts (Last 5): 13 VS 5
Position: 3 VS 16

BTTS (All M): 0.57 VS 0.29
Shots (All M):  19.4 VS 12.1
Shots (Last 5):  21.4 VS 13.8
Shots (AHR):  17.8 VS 6.0

Shots Tar (All M):  7.3 VS 3.9
Shots Tar (Last 5):  7.6 VS 4.8
Shots Tar (AHR):  7.8 VS 2.0

HT Gs (All M)):  1.0 VS 0.7
HT Gs (Last 5):  1.0 VS 0.6
HT Gs (AHR):  1.2 VS 2.0
FT Gs (All M)):  2.4 VS 0.7
FT Gs (Last 5):  2.8 VS 0.6
FT Gs (AHR):  2.4 VS 2.0

Scored at least 1 Goal (All M):  1.0 VS 0.43
Scored at least 1 Goal (Last 5)):  1.0 VS 0.4
Scored at least 1 Goal (AHR):  1.0 VS 1.0
"
1,2024-12-14,Nott'm Forest,Aston Villa,"0,70","0,98","Action: U3.5
","Home: Nott'm Forest, Away: Aston Villa
Pts (All M): 25 VS 25
Pts Against Higher: 1 VS 3
Pts (Last 5): 9 VS 4
Position: 5 VS 6

BTTS (All M): 0.43 VS 0.71
Shots (All M):  14.4 VS 11.4
Shots (Last 5):  14.2 VS 11.0
Shots (AHR):  12.5 VS 12.0

Shots Tar (All M):  4.9 VS 3.3
Shots Tar (Last 5):  4.2 VS 3.0
Shots Tar (AHR):  4.5 VS 3.7

HT Gs (All M)):  0.6 VS 0.9
HT Gs (Last 5):  0.4 VS 0.8
HT Gs (AHR):  0.5 VS 0.3
FT Gs (All M)):  1.1 VS 1.4
FT Gs (Last 5):  1.2 VS 1.2
FT Gs (AHR):  0.5 VS 1.0

Scored at least 1 Goal (All M):  0.86 VS 0.71
Scored at least 1 Goal (Last 5)):  0.8 VS 0.6
Scored at least 1 Goal (AHR):  0.5 VS 0.33
"
6,2024-12-15,Alaves,Ath Bilbao,"0,37","1,87","Action: Double Chance X2 
","Home: Alaves, Away: Ath Bilbao
Pts (All M): 15 VS 32
Pts Against Higher: 3 VS 10
Pts (Last 5): 7 VS 8
Position: 15 VS 4

BTTS (All M): 0.43 VS 0.71
Shots (All M):  11.4 VS 12.9
Shots (Last 5):  12.4 VS 14.4
Shots (AHR):  12.0 VS 12.2

Shots Tar (All M):  3.7 VS 3.3
Shots Tar (Last 5):  4.0 VS 3.4
Shots Tar (AHR):  2.5 VS 3.7

HT Gs (All M)):  0.4 VS 0.6
HT Gs (Last 5):  0.4 VS 0.2
HT Gs (AHR):  0.0 VS 0.7
FT Gs (All M)):  1.1 VS 1.4
FT Gs (Last 5):  1.2 VS 1.2
FT Gs (AHR):  0.5 VS 1.5

Scored at least 1 Goal (All M):  0.71 VS 0.86
Scored at least 1 Goal (Last 5)):  0.8 VS 0.8
Scored at least 1 Goal (AHR):  0.5 VS 0.83
"
11,2024-12-15,AVS,Benfica,"0,05","2,04","Action: Double Chance X2 
","Home: AVS, Away: Benfica
Pts (All M): 11 VS 31
Pts Against Higher: 3 VS 10
Pts (Last 5): 4 VS 10
Position: 13 VS 2

BTTS (All M): 0.29 VS 0.4
Shots (All M):  10.4 VS 14.0
Shots (Last 5):  9.4 VS 14.0
Shots (AHR):  6.7 VS 14.0

Shots Tar (All M):  2.4 VS 5.8
Shots Tar (Last 5):  2.4 VS 5.8
Shots Tar (AHR):  1.3 VS 5.8

HT Gs (All M)):  0.3 VS 0.8
HT Gs (Last 5):  0.4 VS 0.8
HT Gs (AHR):  0.0 VS 0.8
FT Gs (All M)):  0.7 VS 1.6
FT Gs (Last 5):  0.6 VS 1.6
FT Gs (AHR):  0.3 VS 1.6

Scored at least 1 Goal (All M):  0.57 VS 0.8
Scored at least 1 Goal (Last 5)):  0.4 VS 0.8
Scored at least 1 Goal (AHR):  0.33 VS 0.8
"
12,2024-12-15,Arouca,Santa Clara,"0,20","1,96","Action: Double Chance X2 
","Home: Arouca, Away: Santa Clara
Pts (All M): 8 VS 27
Pts Against Higher: 0 VS 9
Pts (Last 5): 4 VS 6
Position: 18 VS 4

BTTS (All M): 0.33 VS 0.33
Shots (All M):  9.8 VS 10.0
Shots (Last 5):  10.2 VS 10.2
Shots (AHR):  9.8 VS 10.0

Shots Tar (All M):  2.7 VS 4.3
Shots Tar (Last 5):  3.2 VS 3.6
Shots Tar (AHR):  2.5 VS 4.3

HT Gs (All M)):  0.3 VS 0.5
HT Gs (Last 5):  0.4 VS 0.4
HT Gs (AHR):  0.0 VS 0.5
FT Gs (All M)):  0.5 VS 1.3
FT Gs (Last 5):  0.6 VS 0.8
FT Gs (AHR):  0.2 VS 1.3

Scored at least 1 Goal (All M):  0.5 VS 0.67
Scored at least 1 Goal (Last 5)):  0.6 VS 0.6
Scored at least 1 Goal (AHR):  0.25 VS 0.67
"
4,2024-12-15,Ajax,Almere City,"2,63","0,19","Action: Draw no bet 1X 
","Home: Ajax, Away: Almere City
Pts (All M): 33 VS 6
Pts Against Higher: 19 VS 0
Pts (Last 5): 13 VS 1
Position: 3 VS 18

BTTS (All M): 0.43 VS 0.14
Shots (All M):  14.9 VS 9.7
Shots (Last 5):  13.4 VS 10.0
Shots (AHR):  14.9 VS 10.0

Shots Tar (All M):  6.4 VS 2.9
Shots Tar (Last 5):  5.4 VS 2.4
Shots Tar (AHR):  6.4 VS 3.0

HT Gs (All M)):  1.3 VS 0.3
HT Gs (Last 5):  1.2 VS 0.4
HT Gs (AHR):  1.3 VS 0.0
FT Gs (All M)):  2.4 VS 0.3
FT Gs (Last 5):  2.2 VS 0.4
FT Gs (AHR):  2.4 VS 0.0

Scored at least 1 Goal (All M):  1.0 VS 0.14
Scored at least 1 Goal (Last 5)):  1.0 VS 0.2
Scored at least 1 Goal (AHR):  1.0 VS 0.0
"
5,2024-12-15,Twente,Groningen,"2,41","0,39","Action: Draw no bet 1X 
","Home: Twente, Away: Groningen
Pts (All M): 28 VS 16
Pts Against Higher: 14 VS 0
Pts (Last 5): 13 VS 0
Position: 5 VS 12

BTTS (All M): 0.57 VS 0.57
Shots (All M):  20.6 VS 7.9
Shots (Last 5):  20.0 VS 6.4
Shots (AHR):  20.5 VS 6.5

Shots Tar (All M):  7.6 VS 3.1
Shots Tar (Last 5):  7.6 VS 2.2
Shots Tar (AHR):  8.3 VS 2.5

HT Gs (All M)):  0.9 VS 0.3
HT Gs (Last 5):  1.2 VS 0.2
HT Gs (AHR):  1.0 VS 0.2
FT Gs (All M)):  2.1 VS 0.7
FT Gs (Last 5):  2.6 VS 0.4
FT Gs (AHR):  2.3 VS 0.5

Scored at least 1 Goal (All M):  1.0 VS 0.57
Scored at least 1 Goal (Last 5)):  1.0 VS 0.4
Scored at least 1 Goal (AHR):  1.0 VS 0.5
"
7,2024-12-15,Barcelona,Leganes,"2,86","1,11","Action: Draw no bet 1X 
","Home: Barcelona, Away: Leganes
Pts (All M): 38 VS 15
Pts Against Higher: 12 VS 0
Pts (Last 5): 12 VS 3
Position: 1 VS 16

BTTS (All M): 0.67 VS 0.75
Shots (All M):  19.0 VS 7.4
Shots (Last 5):  20.2 VS 7.6
Shots (AHR):  18.2 VS 5.0

Shots Tar (All M):  7.5 VS 2.6
Shots Tar (Last 5):  8.0 VS 3.2
Shots Tar (AHR):  7.0 VS 2.0

HT Gs (All M)):  1.8 VS 0.5
HT Gs (Last 5):  2.0 VS 0.6
HT Gs (AHR):  1.6 VS 1.0
FT Gs (All M)):  3.2 VS 1.0
FT Gs (Last 5):  3.4 VS 1.4
FT Gs (AHR):  2.4 VS 1.0

Scored at least 1 Goal (All M):  1.0 VS 0.75
Scored at least 1 Goal (Last 5)):  1.0 VS 1.0
Scored at least 1 Goal (AHR):  1.0 VS 1.0
"
